,Nod_ref,Way_Id,highway,junction,lanes,name,color,size1,size2,Lon,Lat
53,"[53276834, 1027266553, 1027266693, 53276835, 1027266838, 53276836]",6554798,residential,,,Barranco de los Naranjos,#FFFFFF,medio,1,"[-3.5850732999999999, -3.5850391000000004, -3.5850159000000001, -3.5850160000000004, -3.5850239999999998, -3.5850135999999999]","[37.182372799999996, 37.182351099999998, 37.182325299999995, 37.182294499999998, 37.182259799999997, 37.182235999999996]"
54,"[533625897, 1707003616, 533625898, 533625899, 533625900, 1707003614, 533625904, 1668850671, 1668850674, 53276878, 53276881, 533625889, 533625890, 533625891, 1668850655, 533625892, 1027266246, 533625893, 533625894, 1027266184, 1027266312, 533625895, 53276828, 53276829, 1027266438, 53276830, 53276831, 1027266578, 53276832, 53276837, 53276836]",6554801,residential,,,Calle Verea de Enmedio,#FFFFFF,medio,1,"[-3.5884135000000001, -3.5883279999999997, -3.5882012999999997, -3.5880514999999997, -3.5879739000000002, -3.5878261, -3.5876399999999999, -3.5875169000000002, -3.5872218999999999, -3.5870572999999997, -3.5868905, -3.5866872999999999, -3.5864847000000002, -3.5862737999999998, -3.5861622000000004, -3.5861247999999999, -3.5859690000000004, -3.5858135, -3.5856906000000004, -3.5854836000000003, -3.5853742999999993, -3.585264, -3.5852095999999998, -3.5851772000000004, -3.5851779000000001, -3.5851870999999997, -3.5852022000000003, -3.5851687000000005, -3.5851487, -3.5850718000000001, -3.5850135999999999]","[37.182254899999997, 37.182208200000005, 37.1821251, 37.181970499999998, 37.181789600000002, 37.181673499999995, 37.1815699, 37.181606200000004, 37.181654899999998, 37.181690600000003, 37.181725399999998, 37.181751500000004, 37.181628799999991, 37.181466799999995, 37.181442100000005, 37.181433800000001, 37.1814599, 37.181517399999997, 37.181590999999997, 37.181708299999997, 37.181758500000001, 37.181840600000001, 37.1819001, 37.181948200000001, 37.181991700000005, 37.182066999999996, 37.182136, 37.182188099999998, 37.182224600000005, 37.182237899999997, 37.182235999999996]"
55,"[53276841, 1027267412, 1027266151, 53276842, 1027266282, 1027266412, 53276858, 1027266545, 53276859]",6554802,residential,,,Placeta de la Lomilla,#FFFFFF,medio,1,"[-3.5846038, -3.5845332000000001, -3.5844947999999999, -3.5844565000000004, -3.5844347000000001, -3.5843826000000001, -3.5843599999999998, -3.5843408999999999, -3.5843147000000006]","[37.182058000000005, 37.182037200000003, 37.182039899999999, 37.1820594, 37.182123700000005, 37.182164200000003, 37.182186999999999, 37.182197500000001, 37.1822211]"
56,"[53276793, 1668850619, 1668850626, 53276868]",6554803,steps,,,Calle Montes Claros,#FF0000,peque,1,"[-3.5875135, -3.5875305000000002, -3.5875775999999999, -3.5876561000000002]","[37.181071700000004, 37.181138799999999, 37.181150700000003, 37.181170700000003]"
57,"[53276870, 1748444099, 53276872]",6554805,footway,,,Cuesta Juanillo Gallino,#FF6347,linea,1,"[-3.5872046000000002, -3.5871593000000002, -3.5870985000000002]","[37.181193700000001, 37.181310799999991, 37.181354499999998]"
58,"[53276879, 53276882, 53276883, 53276884, 53276885, 53276886, 53276887, 53276888, 1027266334, 1027266465, 53276889, 53276890, 53276891, 53276892, 53276893, 53276894, 53276895, 1027266611, 53276896, 53276897, 53276898, 53276899, 53276900, 53276901, 53276902, 53276903, 53276904]",6554812,path,,,,#FF6347,linea,1,"[-3.5869456, -3.5869192000000001, -3.5868892999999997, -3.5867992999999996, -3.5867586999999999, -3.5866919000000004, -3.5866135999999997, -3.5865091000000002, -3.5864730000000002, -3.5864368999999998, -3.5864048999999998, -3.5863692000000005, -3.5863619, -3.5863733999999998, -3.5864133000000002, -3.5864690000000001, -3.5865179999999999, -3.5865516999999998, -3.5865607000000002, -3.5866047999999995, -3.5866338999999998, -3.5867237999999997, -3.5868602999999997, -3.5869967000000003, -3.587107, -3.5871650000000002, -3.5871708]","[37.181945700000007, 37.181961200000003, 37.181987999999997, 37.1820229, 37.182057700000001, 37.182054799999996, 37.182031600000002, 37.181987999999997, 37.181952299999999, 37.181940500000003, 37.181953799999995, 37.182014700000003, 37.182058099999999, 37.1820776, 37.1821099, 37.182151599999997, 37.182179900000001, 37.182206200000003, 37.182241900000001, 37.182324700000002, 37.182379900000001, 37.182455299999994, 37.182536600000006, 37.182600399999998, 37.182664299999999, 37.182719399999996, 37.182791999999999]"
59,"[53276904, 53276941, 53276942, 53276943, 53276982, 53276981, 53276980, 53276979, 53276978, 53276977, 53276976, 53276975, 53276974, 53276973, 53276972, 53276971, 53276970, 53276963, 1511340705, 1511340706, 1511340715, 1511340717, 1511340719, 1511340720, 1511340721, 1511340722, 264674343]",6554819,path,,,,#FF6347,linea,1,"[-3.5871708, -3.5872144000000001, -3.5872260000000002, -3.5871766000000003, -3.5870517999999998, -3.5869298999999999, -3.5868108999999997, -3.5867499999999999, -3.5866947999999996, -3.5865260999999999, -3.5863546000000004, -3.5861362999999997, -3.5860101000000002, -3.5859527999999998, -3.5859114000000001, -3.5858693000000001, -3.5858437999999992, -3.5858251999999999, -3.5857794999999997, -3.5857375, -3.5857888999999994, -3.5859671999999998, -3.5861407999999995, -3.5863567000000001, -3.5865605000000005, -3.5868561000000003, -3.5868983999999995]","[37.182791999999999, 37.182864600000002, 37.182998100000006, 37.183111299999993, 37.183209999999995, 37.183355100000007, 37.183537899999997, 37.1836889, 37.183819499999998, 37.183993799999996, 37.184128799999996, 37.184270599999998, 37.184355500000002, 37.184413700000007, 37.184478200000001, 37.184552000000004, 37.1846435, 37.184721200000006, 37.184852299999996, 37.185027399999996, 37.185170100000001, 37.1853458, 37.185472999999995, 37.185547700000001, 37.185624100000005, 37.185719499999998, 37.185823900000003]"
60,"[53276943, 53276947, 53276948, 53276949, 53276950, 53276951, 53276952, 53276953, 53276954, 53276955, 53276956, 53276957, 53276958, 53276959, 53276960, 53276961]",6554823,path,,,,#FF6347,linea,1,"[-3.5871766000000003, -3.5872172999999994, -3.5872231000000001, -3.5872231000000001, -3.5872115, -3.5871504999999999, -3.5870663, -3.5869298999999999, -3.5867644999999997, -3.5866455000000004, -3.5865555000000002, -3.5864912000000002, -3.5864001000000005, -3.5863552000000003, -3.5863001000000003, -3.5862696000000005]","[37.183111299999993, 37.183201200000006, 37.183308600000004, 37.183413100000003, 37.183456700000001, 37.183683000000002, 37.183857200000006, 37.184019700000007, 37.184217100000005, 37.184359299999997, 37.184446399999999, 37.184492799999994, 37.184549199999999, 37.184632100000002, 37.1847511, 37.184851700000003]"
61,"[53276950, 53276985, 53276987, 53276988, 53276989, 53276990]",6554831,path,,,,#FF6347,linea,1,"[-3.5872115, -3.5872579, -3.5872608000000001, -3.5872782000000001, -3.5873217000000004, -3.5873565999999997]","[37.183456700000001, 37.1835205, 37.183613399999999, 37.183741099999999, 37.183926799999995, 37.184074899999999]"
62,"[1767843070, 3492853602]",8313820,residential,,,Paseo Jardín de la Reina,#FFFFFF,medio,1,"[-3.6025063999999998, -3.6025894999999997]","[37.162689499999999, 37.162831200000007]"
