,Nod_Id,Nod_Lat,Nod_Lon,Nod_Highway
80598,2202300514,37.1883073,-3.6048525,0
80599,2202300516,37.1883117,-3.6068501,0
80600,2202300518,37.1883135,-3.6058294,0
80601,2202300520,37.1883149,-3.6058832,0
80602,2202300522,37.1883163,-3.6068457,0
80603,2202300525,37.1883225,-3.6058743,0
80604,2202300527,37.1883239,-3.6068437,0
80605,2202300529,37.1883243,-3.6065369,0
80606,2202300531,37.1883271,-3.6058781,0
80607,2202300533,37.1883300,-3.6068476,0
80608,2202300536,37.1883301,-3.6065640,0
80609,2202300538,37.1883315,-3.6065459,0
80610,2202300540,37.1883347,-3.6058788,0
80611,2202300542,37.1883376,-3.6068930,0
80612,2202300544,37.1883381,-3.6068386,0
80613,2202300545,37.1883408,-3.6058730,0
80614,2202300547,37.1883429,-3.6062051,0
80615,2202300550,37.1883476,-3.6069092,0
80616,2202300560,37.1883502,-3.6057572,0
80617,2202300561,37.1883524,-3.6065089,0
80618,2202300562,37.1883624,-3.6057748,0
80619,2202300563,37.1883702,-3.6068846,0
80620,2202300564,37.1883711,-3.6057355,0
80621,2202300565,37.1883714,-3.6062460,0
80622,2202300566,37.1883776,-3.6065468,0
80623,2202300568,37.1883840,-3.6065513,0
80624,2202300570,37.1883864,-3.6049627,0
80625,2202300572,37.1883920,-3.6065513,0
80626,2202300574,37.1883923,-3.6058159,0
80627,2202300577,37.1883934,-3.6066633,0
80628,2202300579,37.1883935,-3.6032662,0
80629,2202300581,37.1883952,-3.6057951,0
80630,2202300584,37.1883970,-3.6058096,0
80631,2202300586,37.1883977,-3.6058023,0
80632,2202300588,37.1883992,-3.6065468,0
80633,2202300590,37.1884045,-3.6057852,0
80634,2202300592,37.1884065,-3.6061368,0
80635,2202300594,37.1884110,-3.6048083,0
80636,2202300597,37.1884186,-3.6025355,0
80637,2202300599,37.1884314,-3.6047532,0
80638,2202300601,37.1884339,-3.6060269,0
80639,2202300604,37.1884344,-3.6061764,0
80640,2202300606,37.1884406,-3.6064083,0
80641,2202300608,37.1884426,-3.6060186,0
80642,2202300610,37.1884430,-3.6066100,0
80643,2202300612,37.1884454,-3.6053185,0
80644,2202300615,37.1884510,-3.6067735,0
80645,2202300617,37.1884617,-3.6067627,0
80646,2202300619,37.1884624,-3.6025322,0
80647,2202300621,37.1884629,-3.6064661,0
80648,2202300622,37.1884636,-3.6064399,0
80649,2202300623,37.1884638,-3.6052954,0
80650,2202300624,37.1884658,-3.6063839,0
80651,2202300625,37.1884737,-3.6063929,0
80652,2202300626,37.1884757,-3.6061144,0
80653,2202300627,37.1884762,-3.6061023,0
80654,2202300628,37.1884781,-3.6053139,0
80655,2202300629,37.1884794,-3.6066630,0
80656,2202300630,37.1884813,-3.6061246,0
80657,2202300632,37.1884818,-3.6060953,0
80658,2202300634,37.1884888,-3.6063938,0
80659,2202300636,37.1884917,-3.6066494,0
80660,2202300639,37.1884948,-3.6059658,0
80661,2202300641,37.1884969,-3.6052916,0
80662,2202300643,37.1885010,-3.6066585,0
80663,2202300645,37.1885024,-3.6059568,0
80664,2202300647,37.1885106,-3.6067096,0
80665,2202300649,37.1885111,-3.6065365,0
80666,2202300662,37.1885118,-3.6066612,0
80667,2202300664,37.1885223,-3.6066969,0
80668,2202300667,37.1885229,-3.6068810,0
80669,2202300669,37.1885232,-3.6062340,0
80670,2202300671,37.1885233,-3.6066549,0
80671,2202300673,37.1885234,-3.6031231,0
80672,2202300675,37.1885311,-3.6063126,0
80673,2202300677,37.1885320,-3.6066079,0
80674,2202300678,37.1885320,-3.6066476,0
80675,2202300679,37.1885363,-3.6063415,0
80676,2202300680,37.1885363,-3.6066223,0
80677,2202300681,37.1885370,-3.6066359,0
80678,2202300682,37.1885371,-3.6054517,0
80679,2202300683,37.1885392,-3.6063252,0
80680,2202300684,37.1885419,-3.6062159,0
80681,2202300686,37.1885420,-3.6025971,0
80682,2202300688,37.1885449,-3.6065952,0
80683,2202300690,37.1885459,-3.6054136,0
80684,2202300692,37.1885563,-3.6049203,0
80685,2202300695,37.1885571,-3.6054297,0
80686,2202300697,37.1885586,-3.6064851,0
80687,2202300699,37.1885599,-3.6062810,0
80688,2202300701,37.1885635,-3.6062141,0
80689,2202300703,37.1885651,-3.6053925,0
80690,2202300705,37.1885658,-3.6066503,0
80691,2202300707,37.1885758,-3.6066404,0
80692,2202300709,37.1885811,-3.6060695,0
80693,2202300712,37.1885917,-3.6066901,0
80694,2202300714,37.1885941,-3.6068006,0
