,Nod_ref,Tags,Way_Id,access,amenity,area,barrier,bicycle,bridge,bus,cycleway,handrail,hgv,highway,junction,lanes,layer,leisure,name,name:en,oneway,oneway:conditional,parking:lane:both,psv,ref,route,sidewalk,surface,tourist_bus,tracktype,color_size,color,size1,size2
2165,"['1011905305', '1011905075', '1011905764', '1011904919', '1011905635', '4174184563', '1011905373', '1011906061', '1011905222']","{'name': 'Avenida de la Investigación', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977316,,,,,,,,,,,residential,,,,,Avenida de la Investigación,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2166,"['1011905816', '1011905603', '1515242648', '1515242649', '1011905193']","{'name': 'Avenida de la Ilustración', 'highway': 'tertiary', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977318,,,,,,,,,,,tertiary,,,,,Avenida de la Ilustración,,yes,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2167,"['1011905875', '1011906178', '1011905488', '1011905657', '1011905456', '1011905828', '1011904938', '1011904993', '1011905178', '1011904871', '1011905303', '1011905324', '1011906155', '1011906064', '1011904851', '1011905506', '1011905708', '1011905725', '1011905193', '1011906082', '1011905001', '1011905377', '1011904758', '1011905553', '1011905820', '1515242647', '1011905783', '1011905569', '1011906227', '1011905095', '1011905239', '1011905933', '1011905875']","{'source:date': '2008', 'highway': 'tertiary', 'junction': 'roundabout', 'source': 'PNOA'}",86977319,,,,,,,,,,,tertiary,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2168,"['1011905217', '1011905820']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977320,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2170,"['1011905552', '1011906172', '1011905922', '3692466091', '2036258036', '1754685828', '1011904926', '3692466111', '1011906239', '1011905260']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'oneway': 'yes'}",86977323,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2171,"['1011905115', '1011904690', '1011905468']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'source': 'PNOA', 'source:date': '2008', 'oneway': 'yes'}",86977324,,,,,,,,,,,residential,,,,,Avenida del Conocimiento,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
2172,"['1656215814', '1011906010']",{'highway': 'footway'},86977325,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2173,"['1011905460', '1011905816', '1011906052', '1011905410', '1011905257', '1011905360', '1011905060', '1012789927', '1011906214', '1011904711', '1011905616', '1011904916', '1011905905', '1011906045', '1011905536', '1011905948', '1011905586', '1011904828', '1011906147', '1011904974', '1011905843', '1011905799', '1011905214', '1011905460']","{'source:date': '2008', 'highway': 'tertiary', 'junction': 'roundabout', 'source': 'PNOA'}",86977326,,,,,,,,,,,tertiary,roundabout,,,,,,,,,,,,,,,,"['#FFFFFF', 'grande', 1]",#FFFFFF,grande,1
2174,"['1656215823', '1011905826']",{'highway': 'footway'},86977327,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,"['#FF6347', 'linea', 1]",#FF6347,linea,1
2176,"['1427026425', '1011905775', '3692466065', '1754685827', '1012788761']","{'name': 'Calle José de Echegaray', 'highway': 'residential', 'oneway': 'yes'}",86977329,,,,,,,,,,,residential,,,,,Calle José de Echegaray,,yes,,,,,,,,,,"['#FFFFFF', 'medio', 1]",#FFFFFF,medio,1
